id,date,positive,negative,totalTestResults,recovered,death
AR,2020-12-06,170924.0,1614979.0,1763150.0,149490.0,2660.0
CO,2020-12-06,260581.0,1608829.0,3478160.0,13941.0,2724.0
CT,2020-12-06,127715.0,3294383.0,3422098.0,9800.0,5146.0
IN,2020-12-06,381617.0,1928262.0,4577211.0,224059.0,6242.0
MS,2020-12-06,164931.0,982395.0,1147326.0,128746.0,3961.0
NC,2020-12-06,394990.0,5216286.0,5611276.0,315979.0,5543.0
ND,2020-12-06,82981.0,274492.0,1132025.0,76999.0,1019.0
NY,2020-12-06,705827.0,19888867.0,20594694.0,87949.0,27149.0
UT,2020-12-06,215407.0,1180321.0,1922236.0,153027.0,939.0
AR,2020-12-05,169382.0,1601735.0,1748446.0,148131.0,2620.0
CO,2020-12-05,257347.0,1574219.0,3442114.0,13760.0,2724.0
CT,2020-12-05,127715.0,3294383.0,3422098.0,9800.0,5146.0
IN,2020-12-05,375019.0,1917159.0,4525760.0,222022.0,6207.0
MS,2020-12-05,163458.0,982395.0,1145853.0,128746.0,3949.0
NC,2020-12-05,388552.0,5158062.0,5546614.0,315979.0,5516.0
ND,2020-12-05,82504.0,274014.0,1125121.0,76476.0,1013.0
NY,2020-12-05,696125.0,19692737.0,20388862.0,87473.0,27089.0
UT,2020-12-05,212844.0,1173871.0,1907788.0,150405.0,939.0
AR,2020-12-04,167137.0,1589776.0,1734686.0,146496.0,2586.0
CO,2020-12-04,252222.0,1574219.0,3397074.0,13500.0,2724.0
CT,2020-12-04,127715.0,3294383.0,3422098.0,9800.0,5146.0
IN,2020-12-04,367329.0,1904853.0,4464492.0,219094.0,6122.0
MS,2020-12-04,161516.0,982395.0,1143911.0,128746.0,3916.0
NC,2020-12-04,382534.0,5102753.0,5485287.0,315979.0,5467.0
ND,2020-12-04,81949.0,273247.0,1116803.0,75653.0,995.0
NY,2020-12-04,685364.0,19488097.0,20173461.0,86638.0,27017.0
UT,2020-12-04,209170.0,1165332.0,1887656.0,146320.0,925.0
AR,2020-12-03,164310.0,1576679.0,1719401.0,144624.0,2555.0
CO,2020-12-03,247209.0,1560856.0,3343095.0,13233.0,2716.0
CT,2020-12-03,126177.0,3267936.0,3394113.0,9800.0,5111.0
IN,2020-12-03,359430.0,1893434.0,4402956.0,213673.0,6033.0
MS,2020-12-03,159036.0,982395.0,1141431.0,128746.0,3879.0
NC,2020-12-03,377231.0,5055468.0,5432699.0,315979.0,5410.0
ND,2020-12-03,81105.0,272578.0,1106508.0,74667.0,983.0
NY,2020-12-03,674093.0,19291071.0,19965164.0,86201.0,26955.0
UT,2020-12-03,206165.0,1155726.0,1866057.0,142939.0,917.0
AR,2020-12-02,161521.0,1562561.0,1703266.0,142600.0,2522.0
CO,2020-12-02,241172.0,1548678.0,3288900.0,12996.0,2708.0
CT,2020-12-02,121426.0,3206014.0,3327440.0,9800.0,5091.0
IN,2020-12-02,350970.0,1881132.0,4342486.0,208176.0,5973.0
MS,2020-12-02,156868.0,982395.0,1139263.0,128746.0,3851.0
NC,2020-12-02,371594.0,5006410.0,5378004.0,315979.0,5366.0
ND,2020-12-02,80135.0,271517.0,1096339.0,73933.0,972.0
NY,2020-12-02,664238.0,19097486.0,19761724.0,86201.0,26889.0
UT,2020-12-02,202220.0,1149122.0,1848316.0,138995.0,906.0
AR,2020-12-01,159309.0,1552255.0,1691453.0,140682.0,2512.0
CO,2020-12-01,237310.0,1541144.0,3255541.0,12779.0,2695.0
CT,2020-12-01,118754.0,3167456.0,3286210.0,9800.0,5040.0
IN,2020-12-01,344373.0,1872885.0,4295987.0,203214.0,5864.0
MS,2020-12-01,154411.0,982395.0,1136806.0,128746.0,3836.0
NC,2020-12-01,367395.0,4976642.0,5344037.0,315979.0,5284.0
ND,2020-12-01,79655.0,271183.0,1091144.0,73015.0,960.0
NY,2020-12-01,655265.0,18912908.0,19568173.0,85808.0,26816.0
UT,2020-12-01,198216.0,1144247.0,1835594.0,136709.0,890.0
AR,2020-11-30,157359.0,1545401.0,1683457.0,138696.0,2502.0
CO,2020-11-30,232905.0,1531344.0,3218851.0,12538.0,2656.0
CT,2020-11-30,117295.0,3144159.0,3261454.0,9800.0,5020.0
IN,2020-11-30,338977.0,1865604.0,4259964.0,197078.0,5723.0
MS,2020-11-30,153270.0,982395.0,1135665.0,128746.0,3807.0
NC,2020-11-30,364512.0,4951772.0,5316284.0,315979.0,5261.0
ND,2020-11-30,79252.0,270965.0,1088089.0,71848.0,933.0
NY,2020-11-30,647980.0,18773518.0,19421498.0,85556.0,26747.0
UT,2020-11-30,195706.0,1139688.0,1824046.0,134296.0,871.0
AR,2020-11-29,156247.0,1538738.0,1675828.0,136872.0,2470.0
CO,2020-11-29,228772.0,1519306.0,3175126.0,12345.0,2521.0
CT,2020-11-29,112581.0,3042036.0,3154617.0,9800.0,4961.0
