id,date,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
Northern Mariana Islands,2021-01-08,0,0.43,0.8,0,0.0,0.0
Guam,2021-01-08,13,10.43,6.19,1,0.29,0.17
Puerto Rico,2021-01-08,2169,716.14,21.14,4,10.14,0.3
Virgin Islands,2021-01-08,0,0.86,0.81,0,0.0,0.0
Wyoming,2021-01-08,479,319.71,55.24,0,7.29,1.26
Wisconsin,2021-01-08,4110,3156.43,54.21,45,39.0,0.67
West Virginia,2021-01-08,1896,1439.71,80.33,36,27.57,1.54
Washington,2021-01-08,4109,3079.57,40.44,49,35.0,0.46
Virginia,2021-01-08,5238,4735.86,55.48,37,33.0,0.39
Vermont,2021-01-08,216,172.43,27.63,1,2.86,0.46
Utah,2021-01-08,3793,3499.71,109.16,21,15.71,0.49
Texas,2021-01-08,23927,22303.57,76.92,464,239.29,0.83
Tennessee,2021-01-08,7219,7885.29,115.46,125,100.43,1.47
South Dakota,2021-01-08,448,488.0,55.16,12,9.71,1.1
South Carolina,2021-01-08,6064,5238.43,101.74,34,57.0,1.11
Rhode Island,2021-01-08,1023,1380.71,130.33,6,19.86,1.87
Pennsylvania,2021-01-08,10217,8040.43,62.81,207,168.57,1.32
Oregon,2021-01-08,1760,1067.14,25.3,13,12.71,0.3
Oklahoma,2021-01-08,5232,4235.71,107.04,31,30.57,0.77
Ohio,2021-01-08,9535,8889.0,76.05,82,83.14,0.71
North Dakota,2021-01-08,283,238.43,31.29,12,6.29,0.82
North Carolina,2021-01-08,9879,8744.43,83.37,121,80.57,0.77
New York,2021-01-08,19560,15089.86,77.57,163,159.0,0.82
New Mexico,2021-01-08,1637,1330.57,63.46,30,29.71,1.42
New Jersey,2021-01-08,7021,5966.17,67.17,110,85.14,0.96
New Hampshire,2021-01-08,891,874.86,64.34,19,12.43,0.91
Nevada,2021-01-08,2959,2436.71,79.11,60,37.57,1.22
Nebraska,2021-01-08,1065,1012.57,52.35,0,9.8,0.51
Montana,2021-01-08,820,566.71,53.02,10,12.43,1.16
Missouri,2021-01-08,4747,3441.86,56.08,38,52.86,0.86
Mississippi,2021-01-08,2175,2182.71,73.34,40,40.71,1.37
Minnesota,2021-01-08,2374,2378.71,42.18,48,43.71,0.78
Michigan,2021-01-08,3898,4328.29,43.34,40,127.43,1.28
Massachusetts,2021-01-08,8120,6363.29,92.32,76,80.29,1.16
Maryland,2021-01-08,3732,2770.57,45.83,43,39.14,0.65
Maine,2021-01-08,782,600.86,44.7,41,11.29,0.84
Louisiana,2021-01-08,3377,3736.57,80.38,105,49.29,1.06
Kentucky,2021-01-08,4525,4286.57,95.95,33,34.0,0.76
Kansas,2021-01-08,4875,2151.86,73.86,121,38.43,1.32
Iowa,2021-01-08,1573,1683.14,53.35,59,32.29,1.02
Indiana,2021-01-08,6099,4980.43,73.98,69,74.43,1.11
Illinois,2021-01-08,9203,7674.86,60.57,166,161.57,1.28
Idaho,2021-01-08,1078,1027.14,57.48,7,12.57,0.7
Hawaii,2021-01-08,283,165.43,11.68,4,2.0,0.14
Georgia,2021-01-08,12979,8262.14,77.82,80,49.71,0.47
Florida,2021-01-08,19530,17991.0,83.77,185,141.86,0.66
District of Columbia,2021-01-08,357,265.0,37.55,1,3.0,0.43
Delaware,2021-01-08,554,777.0,79.79,8,3.86,0.4
Connecticut,2021-01-08,3236,2898.0,81.28,37,47.0,1.32
Colorado,2021-01-08,2467,2729.71,47.4,43,38.71,0.67
California,2021-01-08,50973,42057.57,106.44,674,427.14,1.08
Arkansas,2021-01-08,2944,2774.0,91.92,40,36.43,1.21
Arizona,2021-01-08,13763,10268.43,141.07,206,136.43,1.87
Alaska,2021-01-08,405,375.14,51.28,0,2.29,0.31
Alabama,2021-01-08,5057,4077.14,83.15,111,45.57,0.93
Northern Mariana Islands,2021-01-09,0,0.43,0.8,0,0.0,0.0
Guam,2021-01-09,5,11.14,6.61,0,0.14,0.08
Puerto Rico,2021-01-09,563,671.14,19.82,24,12.86,0.38
Virgin Islands,2021-01-09,0,0.0,0.0,0,0.0,0.0
Wyoming,2021-01-09,72,306.57,52.97,0,7.29,1.26
Wisconsin,2021-01-09,3516,3497.43,60.07,38,44.14,0.76
West Virginia,2021-01-09,1880,1493.0,83.31,16,28.14,1.57
Washington,2021-01-09,2690,3220.29,42.29,7,35.86,0.47
Virginia,2021-01-09,5798,4994.29,58.51,69,37.71,0.44
Vermont,2021-01-09,171,157.29,25.21,0,2.43,0.39
Utah,2021-01-09,2613,3139.43,97.92,9,14.0,0.44
Texas,2021-01-09,17730,22851.14,78.81,332,276.14,0.95
Tennessee,2021-01-09,6446,6402.29,93.75,85,103.71,1.52
